date,make,model,price
2023-02-16,ferrari,488,429026.66

2023-02-17,ferrari,488,418722.13

2023-02-18,ferrari,488,413376.87

2023-02-19,ferrari,488,412353.83

2023-02-20,ferrari,488,413236.98

2023-02-21,ferrari,488,413331.76

2023-02-22,ferrari,488,414850.15

2023-02-23,ferrari,488,412730.12

2023-02-24,ferrari,488,409372.16

2023-02-25,ferrari,488,410513.47

2023-02-26,ferrari,488,412003.44

2023-02-27,ferrari,488,410003.44

2023-02-28,ferrari,488,406481.38

2023-03-01,ferrari,488,407895.49

2023-03-02,ferrari,488,408347.29

2023-03-03,ferrari,488,406027.43

2023-03-04,ferrari,488,404345.35

2023-03-05,ferrari,488,404277.49

2023-03-06,ferrari,488,402436.00

2023-03-07,ferrari,488,405347.05

2023-03-08,ferrari,488,409241.05

2023-03-09,ferrari,488,401264.03

2023-03-10,ferrari,488,402482.17

2023-03-11,ferrari,488,402482.17

2023-03-12,ferrari,488,400909.94

2023-03-13,ferrari,488,407612.53

2023-03-14,ferrari,488,405385.76

2023-03-15,ferrari,488,404365.10

2023-03-16,ferrari,488,405335.29

2023-03-17,ferrari,488,404255.20

2023-03-18,ferrari,488,403575.26

2023-03-19,ferrari,488,403385.39

2023-03-20,ferrari,488,402335.26

2023-03-21,ferrari,488,396785.10

2023-03-22,ferrari,488,405385.76

2023-03-23,ferrari,488,399677.28

2023-03-24,ferrari,488,400325.56

2023-03-25,ferrari,488,401321.38

2023-03-26,ferrari,488,399020.24

2023-03-27,ferrari,488,410020.24

2023-03-28,ferrari,488,416309.68

2023-03-29,ferrari,488,408174.04

2023-03-30,ferrari,488,409174.44

2023-03-31,ferrari,488,405595.73

2023-04-01,ferrari,488,406509.61

2023-04-02,ferrari,488,408900.80

2023-04-03,ferrari,488,407843.58

2023-04-04,ferrari,488,416754.81

2023-04-05,ferrari,488,420754.81

2023-04-06,ferrari,488,432424.72

2023-04-07,ferrari,488,418967.30

2023-04-08,ferrari,488,420967.30

2023-04-09,ferrari,488,422450.08

2023-04-10,ferrari,488,431978.64

2023-04-11,ferrari,488,420791.16
2023-04-12,ferrari,488,421330.97
2023-04-13,ferrari,488,429177.52
2023-04-13,ferrari,488,429177.52
