date,make,model,price
2023-02-16,lamborghini,huracan,353226.33

2023-02-17,lamborghini,huracan,344525.56

2023-02-18,lamborghini,huracan,346235.96

2023-02-19,lamborghini,huracan,344871.57

2023-02-20,lamborghini,huracan,344608.00

2023-02-21,lamborghini,huracan,344391.91

2023-02-22,lamborghini,huracan,345928.36

2023-02-23,lamborghini,huracan,347324.21

2023-02-24,lamborghini,huracan,350867.51

2023-02-25,lamborghini,huracan,349680.37

2023-02-26,lamborghini,huracan,351879.97

2023-02-27,lamborghini,huracan,349839.91

2023-02-28,lamborghini,huracan,348745.92

2023-03-01,lamborghini,huracan,350667.44

2023-03-02,lamborghini,huracan,349149.62

2023-03-03,lamborghini,huracan,348149.62

2023-03-04,lamborghini,huracan,347849.62

2023-03-05,lamborghini,huracan,350129.52

2023-03-06,lamborghini,huracan,351139.78

2023-03-07,lamborghini,huracan,353561.54

2023-03-08,lamborghini,huracan,354408.98

2023-03-09,lamborghini,huracan,355408.98

2023-03-10,lamborghini,huracan,356867.36

2023-03-11,lamborghini,huracan,353239.96

2023-03-12,lamborghini,huracan,352342.11

2023-03-13,lamborghini,huracan,353609.19

2023-03-14,lamborghini,huracan,354191.29

2023-03-15,lamborghini,huracan,352451.29

2023-03-16,lamborghini,huracan,349391.59

2023-03-17,lamborghini,huracan,349001.24

2023-03-18,lamborghini,huracan,347191.21

2023-03-19,lamborghini,huracan,345211.59

2023-03-20,lamborghini,huracan,344899.19

2023-03-21,lamborghini,huracan,342935.37

2023-03-22,lamborghini,huracan,344191.29

2023-03-23,lamborghini,huracan,345753.76

2023-03-24,lamborghini,huracan,343191.48

2023-03-25,lamborghini,huracan,347121.79

2023-03-26,lamborghini,huracan,349654.91

2023-03-27,lamborghini,huracan,350542.26

2023-03-28,lamborghini,huracan,355512.76

2023-03-29,lamborghini,huracan,355033.74

2023-03-30,lamborghini,huracan,355043.24

2023-03-31,lamborghini,huracan,355448.72

2023-04-01,lamborghini,huracan,354363.79

2023-04-02,lamborghini,huracan,350244.34

2023-04-03,lamborghini,huracan,352024.66

2023-04-04,lamborghini,huracan,351024.66

2023-04-05,lamborghini,huracan,355622.70

2023-04-06,lamborghini,huracan,352852.77

2023-04-07,lamborghini,huracan,361442.17

2023-04-08,lamborghini,huracan,355442.17

2023-04-09,lamborghini,huracan,351980.34

2023-04-10,lamborghini,huracan,345137.22

2023-04-11,lamborghini,huracan,345920.81
2023-04-12,lamborghini,huracan,347422.85
2023-04-13,lamborghini,huracan,344514.63
2023-04-13,lamborghini,huracan,344514.63
