date,make,model,price
2023-02-16,lamborghini,urus,353098.19

2023-02-17,lamborghini,urus,353605.72

2023-02-18,lamborghini,urus,352240.42

2023-02-19,lamborghini,urus,352190.32

2023-02-20,lamborghini,urus,351136.65

2023-02-21,lamborghini,urus,350124.95

2023-02-22,lamborghini,urus,349522.62

2023-02-23,lamborghini,urus,349432.21

2023-02-24,lamborghini,urus,350409.81

2023-02-25,lamborghini,urus,348336.88

2023-02-26,lamborghini,urus,348874.04

2023-02-27,lamborghini,urus,348624.44

2023-02-28,lamborghini,urus,348315.59

2023-03-01,lamborghini,urus,349585.04

2023-03-02,lamborghini,urus,348905.06

2023-03-03,lamborghini,urus,349905.97

2023-03-04,lamborghini,urus,350205.29

2023-03-05,lamborghini,urus,349945.39

2023-03-06,lamborghini,urus,351935.48

2023-03-07,lamborghini,urus,352525.72

2023-03-08,lamborghini,urus,353525.32

2023-03-09,lamborghini,urus,354230.35

2023-03-10,lamborghini,urus,352048.38

2023-03-11,lamborghini,urus,353881.09

2023-03-12,lamborghini,urus,351926.13

2023-03-13,lamborghini,urus,348098.39

2023-03-14,lamborghini,urus,347425.33

2023-03-15,lamborghini,urus,346325.29

2023-03-16,lamborghini,urus,344445.39

2023-03-17,lamborghini,urus,342232.36

2023-03-18,lamborghini,urus,343629.38

2023-03-19,lamborghini,urus,341355.29

2023-03-20,lamborghini,urus,340425.39

2023-03-21,lamborghini,urus,341886.42

2023-03-22,lamborghini,urus,344455.29

2023-03-23,lamborghini,urus,346379.29

2023-03-24,lamborghini,urus,347435.33

2023-03-25,lamborghini,urus,345435.56

2023-03-26,lamborghini,urus,344224.48

2023-03-27,lamborghini,urus,347030.25

2023-03-28,lamborghini,urus,349010.85

2023-03-29,lamborghini,urus,355670.85

2023-03-30,lamborghini,urus,353620.35

2023-03-31,lamborghini,urus,351863.52

2023-04-01,lamborghini,urus,354977.36

2023-04-02,lamborghini,urus,352869.33

2023-04-03,lamborghini,urus,356597.25

2023-04-04,lamborghini,urus,355075.81

2023-04-05,lamborghini,urus,350075.81

2023-04-06,lamborghini,urus,348865.93

2023-04-07,lamborghini,urus,348517.71

2023-04-08,lamborghini,urus,348617.71

2023-04-09,lamborghini,urus,348449.75

2023-04-10,lamborghini,urus,350757.88

2023-04-11,lamborghini,urus,350428.12
2023-04-12,lamborghini,urus,347904.49
2023-04-13,lamborghini,urus,347520.52
2023-04-13,lamborghini,urus,347056.45
