date,make,model,price
2023-02-16,mclaren,720s,362938.41

2023-02-17,mclaren,720s,362493.65

2023-02-18,mclaren,720s,361980.48

2023-02-19,mclaren,720s,362024.91

2023-02-20,mclaren,720s,362771.20

2023-02-21,mclaren,720s,362031.39

2023-02-22,mclaren,720s,362648.43

2023-02-23,mclaren,720s,361343.33

2023-02-24,mclaren,720s,363848.20

2023-02-25,mclaren,720s,364793.32

2023-02-26,mclaren,720s,362999.02

2023-02-27,mclaren,720s,362954.22

2023-02-28,mclaren,720s,362918.77

2023-03-01,mclaren,720s,362737.30

2023-03-02,mclaren,720s,363254.92

2023-03-03,mclaren,720s,363484.92

2023-03-04,mclaren,720s,365284.37

2023-03-05,mclaren,720s,363454.29

2023-03-06,mclaren,720s,361234.18

2023-03-07,mclaren,720s,363234.91

2023-03-08,mclaren,720s,362259.84

2023-03-09,mclaren,720s,361612.99

2023-03-10,mclaren,720s,366715.49

2023-03-11,mclaren,720s,366318.54

2023-03-12,mclaren,720s,365767.58

2023-03-13,mclaren,720s,364942.24

2023-03-14,mclaren,720s,366139.27

2023-03-15,mclaren,720s,364129.58

2023-03-16,mclaren,720s,363479.29

2023-03-17,mclaren,720s,364689.91

2023-03-18,mclaren,720s,363489.29

2023-03-19,mclaren,720s,360889.10

2023-03-20,mclaren,720s,358139.29

2023-03-21,mclaren,720s,355142.69

2023-03-22,mclaren,720s,357749.45

2023-03-23,mclaren,720s,355439.38

2023-03-24,mclaren,720s,356919.29

2023-03-25,mclaren,720s,357389.67

2023-03-26,mclaren,720s,356082.77

2023-03-27,mclaren,720s,354852.16

2023-03-28,mclaren,720s,355882.06

2023-03-29,mclaren,720s,355300.08

2023-03-30,mclaren,720s,352400.51

2023-03-31,mclaren,720s,356297.69

2023-04-01,mclaren,720s,357516.65

2023-04-02,mclaren,720s,357065.82

2023-04-03,mclaren,720s,356817.10

2023-04-04,mclaren,720s,356770.18

2023-04-05,mclaren,720s,356570.18

2023-04-06,mclaren,720s,356244.64

2023-04-07,mclaren,720s,354483.85

2023-04-08,mclaren,720s,355483.85

2023-04-09,mclaren,720s,354267.88

2023-04-10,mclaren,720s,354267.88

2023-04-11,mclaren,720s,354059.55

2023-04-12,mclaren,720s,356420.39

2023-04-13,mclaren,720s,355201.27

2023-04-13,mclaren,720s,355201.27
