date,make,model,price
2023-02-16,mclaren,Senna,1397307.51

2023-02-17,mclaren,Senna,1406567.36

2023-02-18,mclaren,Senna,1406284.36

2023-02-19,mclaren,senna,1412357.06

2023-02-20,mclaren,senna,1411862.84

2023-02-21,mclaren,senna,1412649.34

2023-02-22,mclaren,senna,1420065.44

2023-02-23,mclaren,senna,1412448.43

2023-02-24,mclaren,senna,1419011.25

2023-02-25,mclaren,senna,1418874.33

2023-02-26,mclaren,senna,1422097.20

2023-02-27,mclaren,senna,1422390.32  

2023-02-28,mclaren,senna,1423025.62

2023-03-01,mclaren,senna,1419559.38

2023-03-02,mclaren,senna,1420556.49

2023-03-03,mclaren,senna,1423556.59

2023-03-04,mclaren,senna,1427556.38

2023-03-05,mclaren,senna,1434556.39

2023-03-06,mclaren,senna,1453856.47

2023-03-07,mclaren,senna,1447356.28

2023-03-08,mclaren,senna,1437456.38

2023-03-09,mclaren,senna,1433251.31

2023-03-10,mclaren,senna,1449548.24

2023-03-11,mclaren,senna,1449548.24

2023-03-12,mclaren,senna,1446790.06

2023-03-13,mclaren,senna,1448712.17

2023-03-14,mclaren,senna,1438574.27

2023-03-15,mclaren,senna,1458664.42

2023-03-16,mclaren,senna,1448523.22

2023-03-17,mclaren,senna,1458624.42

2023-03-18,mclaren,senna,1459914.65

2023-03-19,mclaren,senna,1462144.83

2023-03-20,mclaren,senna,1468124.30

2023-03-21,mclaren,senna,1468344.47

2023-03-22,mclaren,senna,1458464.39

2023-03-23,mclaren,senna,1460763.61

2023-03-24,mclaren,senna,1458323.62

2023-03-25,mclaren,senna,1434144.86

2023-03-26,mclaren,senna,1441798.92

2023-03-27,mclaren,senna,1445398.12

2023-03-28,mclaren,senna,1447354.33

2023-03-29,mclaren,senna,1448149.22

2023-03-30,mclaren,senna,1449249.12

2023-03-31,mclaren,senna,1450163.97

2023-04-01,mclaren,senna,1456780.87

2023-04-02,mclaren,senna,1450572.04

2023-04-03,mclaren,senna,1451277.89

2023-04-04,mclaren,senna,1454701.34

2023-04-04,mclaren,senna,1464701.34

2023-04-06,mclaren,senna,1478935.21

2023-04-07,mclaren,senna,1487490.52

2023-04-08,mclaren,senna,1487490.52

2023-04-09,mclaren,senna,1487490.52

2023-04-10,mclaren,senna,1493082.40

2023-04-11,mclaren,senna,1493082.40

2023-04-12,mclaren,senna,1538039.27
2023-04-13,mclaren,senna,1578079.60
2023-04-13,mclaren,senna,1578079.60
